product_id,Description
1,This is a high-quality laptop with 16GB of RAM and 1TB of storage.
2,A sleek and stylish smartphone with a 6.1-inch screen and 12MP camera.
3,A comfortable and durable pair of running shoes with good arch support.
4,A versatile and easy-to-use digital camera with 20MP resolution.
5,A high-performance gaming console with 2TB of storage and 4K resolution.
6,A stylish and functional backpack with multiple compartments and pockets.
7,A fast and efficient washing machine with 10kg capacity and multiple cycles.
8,A high-quality and comfortable mattress with medium firmness and cooling technology.
9,A powerful and feature-rich smartwatch with heart rate monitoring and GPS.
10,A compact and portable wireless speaker with 10-hour battery life.
